race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,01133,01133,DEM,974.0,11273.0,0.08640113545640025
President,01133,01133,LIB,99.0,11273.0,0.008782045595671072
President,01133,01133,WRI,13.0,11273.0,0.001153197906502262
President,01011,01011,DEM,3439.0,4603.0,0.7471214425374756
President,01011,01011,REP,1143.0,4603.0,0.24831631544644797
President,01011,01011,LIB,19.0,4603.0,0.004127742776450141
President,01011,01011,WRI,2.0,4603.0,0.00043449923962633063
President,01013,01013,REP,5448.0,9466.0,0.5755334882738221
President,01013,01013,DEM,3953.0,9466.0,0.41759983097401226
President,01013,01013,LIB,59.0,9466.0,0.0062328332981195856
President,01013,01013,WRI,6.0,9466.0,0.0006338474540460595
President,01015,01015,REP,34964.0,50743.0,0.6890408529255266
President,01015,01015,DEM,15118.0,50743.0,0.2979327197840096
President,01015,01015,LIB,548.0,50743.0,0.0107995191454979
President,01015,01015,WRI,113.0,50743.0,0.002226908144965808
President,01017,01017,REP,8748.0,15269.0,0.5729255353985199
President,01017,01017,DEM,6356.0,15269.0,0.41626825594341477
President,01017,01017,LIB,140.0,15269.0,0.009168904315934246
President,01017,01017,WRI,25.0,15269.0,0.0016373043421311153
President,02910,02910,REP,7813.0,10878.0,0.7182386468100754
President,02910,02910,DEM,2680.0,10878.0,0.24636881779738923
President,02910,02910,LIB,276.0,10878.0,0.0253723110865968
President,02910,02910,GRN,63.0,10878.0,0.005791505791505791
President,02910,02910,CST,21.0,10878.0,0.0019305019305019305
President,02910,02910,IND,19.0,10878.0,0.0017466446037874609
President,02910,02910,ALI,6.0,10878.0,0.0005515719801434088
President,02911,02911,REP,6968.0,10449.0,0.666858072542827
President,02911,02911,DEM,3084.0,10449.0,0.2951478610393339
President,02911,02911,LIB,266.0,10449.0,0.02545698152933295
President,02911,02911,GRN,86.0,10449.0,0.00823045267489712
President,02911,02911,CST,22.0,10449.0,0.0021054646377643795
President,02911,02911,IND,17.0,10449.0,0.001626949947363384
President,02911,02911,ALI,6.0,10449.0,0.0005742176284811944
President,02912,02912,REP,7707.0,10976.0,0.7021683673469388
President,02912,02912,DEM,2887.0,10976.0,0.26302842565597667
President,02912,02912,LIB,282.0,10976.0,0.025692419825072886
President,02912,02912,GRN,54.0,10976.0,0.004919825072886298
President,02912,02912,CST,28.0,10976.0,0.002551020408163265
President,02912,02912,IND,15.0,10976.0,0.0013666180758017492
President,02912,02912,ALI,3.0,10976.0,0.00027332361516034986
President,02913,02913,REP,4557.0,7550.0,0.6035761589403974
President,02913,02913,DEM,2607.0,7550.0,0.3452980132450331
President,02913,02913,LIB,301.0,7550.0,0.03986754966887417
President,02913,02913,GRN,39.0,7550.0,0.005165562913907285
President,02913,02913,IND,24.0,7550.0,0.0031788079470198675
President,02913,02913,CST,16.0,7550.0,0.002119205298013245
President,02913,02913,ALI,6.0,7550.0,0.0007947019867549669
President,02914,02914,REP,6632.0,11303.0,0.5867468813589313
President,02914,02914,DEM,4211.0,11303.0,0.37255595859506324
President,02914,02914,LIB,351.0,11303.0,0.031053702556843317
President,02914,02914,GRN,49.0,11303.0,0.004335132265770149
President,02914,02914,CST,45.0,11303.0,0.0039812439175440145
President,02914,02914,IND,10.0,11303.0,0.0008847208705653366
President,02914,02914,ALI,5.0,11303.0,0.0004423604352826683
President,02915,02915,REP,2602.0,5397.0,0.48211969612747824
President,02915,02915,DEM,2542.0,5397.0,0.4710024087455994
President,02915,02915,LIB,187.0,5397.0,0.03464887900685566
President,02915,02915,GRN,35.0,5397.0,0.00648508430609598
President,02915,02915,IND,13.0,5397.0,0.002408745599407078
President,02915,02915,CST,9.0,5397.0,0.0016675931072818232
President,02915,02915,ALI,9.0,5397.0,0.0016675931072818232
President,02916,02916,DEM,4189.0,7970.0,0.5255959849435383
President,02916,02916,REP,3460.0,7970.0,0.4341279799247177
President,02916,02916,LIB,206.0,7970.0,0.025846925972396486
President,02916,02916,GRN,64.0,7970.0,0.008030112923462986
President,02916,02916,CST,26.0,7970.0,0.003262233375156838
President,02916,02916,IND,14.0,7970.0,0.0017565872020075283
President,02916,02916,ALI,11.0,7970.0,0.0013801756587202008
President,02917,02917,DEM,3982.0,6952.0,0.5727848101265823
President,02917,02917,REP,2693.0,6952.0,0.38737054085155354
President,02917,02917,LIB,173.0,6952.0,0.024884925201380897
President,02917,02917,GRN,63.0,6952.0,0.009062140391254315
President,02917,02917,IND,17.0,6952.0,0.0024453394706559265
President,02917,02917,CST,15.0,6952.0,0.00215765247410817
President,02917,02917,ALI,9.0,6952.0,0.001294591484464902
President,02918,02918,DEM,4567.0,7513.0,0.6078796752296021
President,02918,02918,REP,2678.0,7513.0,0.35644882204179423
President,02918,02918,LIB,151.0,7513.0,0.020098495940370026
President,02918,02918,GRN,74.0,7513.0,0.00984959403700253
President,02918,02918,CST,24.0,7513.0,0.003194462930919739
President,02918,02918,IND,15.0,7513.0,0.001996539331824837
President,02918,02918,ALI,4.0,7513.0,0.0005324104884866232
President,02919,02919,DEM,3056.0,5186.0,0.5892788276128037
President,02919,02919,REP,1928.0,5186.0,0.3717701504049364
President,02919,02919,LIB,106.0,5186.0,0.020439645198611647
President,02919,02919,GRN,51.0,5186.0,0.009834168916313151
President,02919,02919,CST,22.0,5186.0,0.004242190512919399
President,02919,02919,ALI,13.0,5186.0,0.002506748939452372
President,02919,02919,IND,10.0,5186.0,0.0019282684149633628
President,02901,02901,REP,3429.0,7147.0,0.4797817265985728
President,02901,02901,DEM,3401.0,7147.0,0.47586399888064923
President,02901,02901,LIB,209.0,7147.0,0.029243039037358334
President,02901,02901,GRN,50.0,7147.0,0.006995942353435008
President,02901,02901,CST,32.0,7147.0,0.004477403106198405
President,02901,02901,IND,24.0,7147.0,0.0033580523296488037
President,02901,02901,ALI,2.0,7147.0,0.0002798376941374003
President,02920,02920,DEM,4727.0,7217.0,0.6549812941665512
President,02920,02920,REP,2277.0,7217.0,0.31550505750311764
President,02920,02920,LIB,144.0,7217.0,0.01995288901205487
President,02920,02920,GRN,48.0,7217.0,0.00665096300401829
President,02920,02920,IND,14.0,7217.0,0.0019398642095053346
President,02920,02920,CST,6.0,7217.0,0.0008313703755022863
President,02920,02920,ALI,1.0,7217.0,0.00013856172925038105
President,02921,02921,DEM,5343.0,9292.0,0.5750107619457598
President,02921,02921,REP,3632.0,9292.0,0.39087386999569523
President,02921,02921,LIB,197.0,9292.0,0.02120103314679294
President,02921,02921,GRN,70.0,9292.0,0.0075333620318553595
President,02921,02921,CST,28.0,9292.0,0.003013344812742144
President,02921,02921,IND,19.0,9292.0,0.0020447696943607404
President,02921,02921,ALI,3.0,9292.0,0.0003228583727938011
President,02922,02922,REP,4585.0,9350.0,0.4903743315508021
President,02922,02922,DEM,4490.0,9350.0,0.4802139037433155
President,02922,02922,LIB,194.0,9350.0,0.020748663101604278
President,02922,02922,GRN,44.0,9350.0,0.004705882352941176
President,02922,02922,IND,18.0,9350.0,0.0019251336898395723
President,02922,02922,CST,16.0,9350.0,0.001711229946524064
President,02922,02922,ALI,3.0,9350.0,0.00032085561497326203
President,02923,02923,DEM,3723.0,7531.0,0.49435665914221216
President,02923,02923,REP,3543.0,7531.0,0.47045545080334616
President,02923,02923,LIB,163.0,7531.0,0.021643871995750897
President,02923,02923,GRN,52.0,7531.0,0.00690479352011685
President,02923,02923,CST,22.0,7531.0,0.0029212587969725135
President,02923,02923,IND,15.0,7531.0,0.0019917673615721682
President,02923,02923,ALI,13.0,7531.0,0.0017261983800292125
President,02924,02924,REP,5309.0,10289.0,0.5159879482942948
President,02924,02924,DEM,4676.0,10289.0,0.45446593449314804
President,02924,02924,LIB,215.0,10289.0,0.020896102633880843
President,02924,02924,GRN,45.0,10289.0,0.004373602876858782
President,02924,02924,IND,23.0,10289.0,0.002235397025950044
President,02924,02924,CST,15.0,10289.0,0.0014578676256195937
President,02924,02924,ALI,6.0,10289.0,0.0005831470502478375
