"Rank","City","County","Average VantageScore 3.0 Credit Score",""
"842","Carmichaels","Greene County","679",""
"843","Glen Campbell","Indiana County","679",""
"844","Port Allegany","McKean County","679",""
"845","Leetsdale","Allegheny County","678",""
"846","Berwick","Columbia County","678",""
"847","Waynesburg","Greene County","678",""
"848","Lawrenceville","Tioga County","678",""
"849","Freeland","Luzerne County","678",""
"850","Monroeton","Bradford County","678",""
"851","Bartonsville","Monroe County","678",""
"852","Kingston","Luzerne County","678",""
"853","Connellsville","Fayette County","678",""
"854","Bradford","McKean County","678",""
"855","Dunbar","Fayette County","678",""
"856","Lemoyne","Cumberland County","678",""
"857","Frackville","Schuylkill County","678",""
"858","Norwood","Delaware County","678",""
"859","Adrian","Armstrong County","678",""
"860","Meshoppen","Susquehanna County","677",""
"861","Mehoopany","Wyoming County","677",""
"862","Normalville","Fayette County","677",""
"863","Dingmans Ferry","Pike County","677",""
"864","Monessen","Westmoreland County","677",""
"865","Mcadoo","Schuylkill County","677",""
"866","Greeley","Pike County","677",""
"867","Mount Morris","Greene County","677",""
"868","Saxton","Bedford County","676",""
"869","Colver","Cambria County","676",""
"870","Uniontown","Fayette County","676",""
"871","Springboro","Crawford County","676",""
"872","Bethlehem","Lehigh County","676",""
"873","Holmes","Delaware County","676",""
"874","Corry","Erie County","676",""
"875","Clarksville","Washington County","676",""
"876","Jefferson","Greene County","676",""
"877","Rochester","Beaver County","676",""
"878","Williamstown","Dauphin County","676",""
"879","Yeagertown","Mifflin County","676",""
"880","Renovo","Clinton County","676",""
"881","Trevorton","Northumberland County","676",""
"882","Levittown","Bucks County","676",""
"883","Coal Township","Northumberland County","676",""
"884","Wysox","Bradford County","676",""
"885","Erie","Erie County","676",""
"886","Carbondale","Lackawanna County","676",""
"887","Confluence","Somerset County","675",""
"888","Dravosburg","Allegheny County","675",""
"889","Clifton Heights","Delaware County","675",""
"890","Sykesville","Jefferson County","675",""
"891","New Eagle","Washington County","675",""
"892","Clarendon","Warren County","675",""
"893","Taylor","Lackawanna County","675",""
"894","Gilbert","Monroe County","675",""
"895","Saint Clair","Schuylkill County","674",""
"896","Brownsville","Fayette County","674",""
"897","Markleysburg","Fayette County","674",""
"898","Bessemer","Lawrence County","674",""
"899","Catasauqua","Lehigh County","674",""
"900","Eldred","McKean County","674",""
"901","Bridgeport","Montgomery County","674",""
"902","Fairchance","Fayette County","674",""
"903","Great Bend","Susquehanna County","674",""
"904","Nanticoke","Luzerne County","674",""
"905","Blue Ridge Summit","Franklin County","674",""
"906","Prospect Park","Delaware County","673",""
"907","Cressona","Schuylkill County","673",""
"908","Effort","Monroe County","673",""
"909","Adah","Fayette County","673",""
"910","Creighton","Allegheny County","673",""
"911","New Salem","Fayette County","672",""
"912","Mc Kees Rocks","Allegheny County","672",""
"913","Somerset","Somerset County","672",""
"914","Brookhaven","Delaware County","671",""
"915","Tremont","Schuylkill County","671",""
"916","Mount Carmel","Northumberland County","671",""
"917","Luzerne","Luzerne County","671",""
"918","Burnham","Mifflin County","671",""
"919","Mc Clellandtown","Fayette County","671",""
"920","East Mc Keesport","Allegheny County","671",""
"921","Tioga","Tioga County","671",""
"922","Dilliner","Greene County","671",""
"923","California","Washington County","671",""
"924","Henryville","Monroe County","671",""
"925","East Stroudsburg","Monroe County","671",""
"926","Greensboro","Greene County","671",""
"927","Smithfield","Fayette County","670",""
"928","Midland","Beaver County","670",""
"929","Essington","Delaware County","670",""
"930","Blossburg","Tioga County","670",""
"931","Croydon","Bucks County","670",""
"932","Roulette","Potter County","670",""
"933","Williamsport","Lycoming County","669",""
"934","Glenolden","Delaware County","669",""
"935","University Park","Centre County","669",""
"936","Port Carbon","Schuylkill County","669",""
"937","Wilkes Barre","Luzerne County","669",""
"938","Lake Lynn","Fayette County","668",""
"939","Pottstown","Montgomery County","668",""
"940","Republic","Fayette County","667",""
"941","Mount Union","Huntingdon County","667",""
"942","West Springfield","Erie County","667",""
"943","Masontown","Fayette County","667",""
"944","Albrightsville","Carbon County","666",""
"945","Scranton","Lackawanna County","666",""
"946","Blakeslee","Monroe County","665",""
"947","Mckeesport","Allegheny County","665",""
"948","Shamokin","Northumberland County","665",""
"949","Woodlyn","Delaware County","665",""
"950","Lemont Furnace","Fayette County","665",""
"951","Elkland","Tioga County","665",""
"952","Brackenridge","Allegheny County","664",""
"953","Ambridge","Beaver County","664",""
"954","Grindstone","Fayette County","664",""
"955","Everson","Fayette County","662",""
"956","Ellsworth","Washington County","662",""
"957","Coaldale","Schuylkill County","661",""
"958","Donora","Washington County","660",""
"959","Pocono Summit","Monroe County","660",""
"960","Plymouth","Luzerne County","659",""
"961","Glassport","Allegheny County","659",""
"962","Long Pond","Monroe County","658",""
"963","Reading","Berks County","658",""
"964","Marcus Hook","Delaware County","657",""
"965","Hazleton","Luzerne County","657",""
"966","Lyndora","Butler County","657",""
"967","Turtle Creek","Allegheny County","657",""
"968","Harrisburg","Dauphin County","655",""
"969","Girardville","Schuylkill County","655",""
"970","Minersville","Schuylkill County","654",""
"971","Mount Pocono","Monroe County","653",""
"972","Toughkenamon","Chester County","653",""
"973","Bushkill","Pike County","652",""
"974","Allentown","Lehigh County","651",""
"975","Point Marion","Fayette County","649",""
"976","Shenandoah","Schuylkill County","645",""
